name,valuename,value
rdbchecksum,default,yes
rdbchecksum,other,no
daemonize,default,no
daemonize,other,yes
io-threads-do-reads,default,no
io-threads-do-reads,other,yes
lua-replicate-commands,default,yes
lua-replicate-commands,other,no
always-show-logo,default,no
always-show-logo,other,yes
protected-mode,default,yes
protected-mode,other,no
rdbcompression,default,yes
rdbcompression,other,no
rdb-del-sync-files,default,no
rdb-del-sync-files,other,yes
activerehashing,default,yes
activerehashing,other,no
stop-writes-on-bgsave-error,default,yes
stop-writes-on-bgsave-error,other,no
set-proc-title,default,yes
set-proc-title,other,no
dynamic-hz,default,yes
dynamic-hz,other,no
lazyfree-lazy-eviction,default,no
lazyfree-lazy-eviction,other,yes
lazyfree-lazy-expire,default,no
lazyfree-lazy-expire,other,yes
lazyfree-lazy-server-del,default,no
lazyfree-lazy-server-del,other,yes
lazyfree-lazy-user-del,default,no
lazyfree-lazy-user-del,other,yes
lazyfree-lazy-user-flush,default,no
lazyfree-lazy-user-flush,other,yes
repl-disable-tcp-nodelay,default,no
repl-disable-tcp-nodelay,other,yes
repl-diskless-sync,default,no
repl-diskless-sync,other,yes
gopher-enabled,default,no
gopher-enabled,other,yes
aof-rewrite-incremental-fsync,default,yes
aof-rewrite-incremental-fsync,other,no
no-appendfsync-on-rewrite,default,no
no-appendfsync-on-rewrite,other,yes
cluster-require-full-coverage,default,yes
cluster-require-full-coverage,other,no
rdb-save-incremental-fsync,default,yes
rdb-save-incremental-fsync,other,no
aof-load-truncated,default,yes
aof-load-truncated,other,no
aof-use-rdb-preamble,default,yes
aof-use-rdb-preamble,other,no
cluster-replica-no-failover,default,no
cluster-replica-no-failover,other,yes
replica-lazy-flush,default,no
replica-lazy-flush,other,yes
replica-serve-stale-data,default,yes
replica-serve-stale-data,other,no
replica-read-only,default,yes
replica-read-only,other,no
replica-ignore-maxmemory,default,yes
replica-ignore-maxmemory,other,no
jemalloc-bg-thread,default,yes
jemalloc-bg-thread,other,no
activedefrag,default,no
activedefrag,other,yes
syslog-enabled,default,no
syslog-enabled,other,yes
cluster-enabled,default,no
cluster-enabled,other,yes
appendonly,default,no
appendonly,other,yes
cluster-allow-reads-when-down,default,no
cluster-allow-reads-when-down,other,yes
crash-log-enabled,default,yes
crash-log-enabled,other,no
crash-memcheck-enabled,default,yes
crash-memcheck-enabled,other,no
use-exit-on-panic,default,no
use-exit-on-panic,other,yes
disable-thp,default,yes
disable-thp,other,no
cluster-allow-replica-migration,default,yes
cluster-allow-replica-migration,other,no
replica-announced,default,yes
replica-announced,other,no
