hbase.tmp.dir,"Temporary directory on the local filesystem. Change this setting to point to a location more permanent than '/tmp', the usual resolve for java.io.tmpdir, as the '/tmp' directory is cleared on machine restart.",${java.io.tmpdir}/hbase-${user.name}
hbase.rootdir,"The directory shared by region servers and into which HBase persists.  The URL should be 'fully-qualified' to include the filesystem scheme.  For example, to specify the HDFS directory '/hbase' where the HDFS instance's namenode is running at namenode.example.org on port 9000, set this value to: hdfs://namenode.example.org:9000/hbase.  By default, we write to whatever ${hbase.tmp.dir} is set too -- usually /tmp -- so change this configuration or else all data will be lost on machine restart.",${hbase.tmp.dir}/hbase
hbase.cluster.distributed,"The mode the cluster will be in. Possible values are   false for standalone mode and true for distributed mode.  If   false, startup will run all HBase and ZooKeeper daemons together   in the one JVM.",FALSE
hbase.zookeeper.quorum,"Comma separated list of servers in the ZooKeeper ensemble (This config. should have been named hbase.zookeeper.ensemble). For example, ""host1.mydomain.com,host2.mydomain.com,host3.mydomain.com"". By default this is set to localhost for local and pseudo-distributed modes of operation. For a fully-distributed setup, this should be set to a full list of ZooKeeper ensemble servers. If HBASE_MANAGES_ZK is set in hbase-env.sh this is the list of servers which hbase will start/stop ZooKeeper on as part of cluster start/stop.  Client-side, we will take this list of ensemble members and put it together with the hbase.zookeeper.property.clientPort config. and pass it into zookeeper constructor as the connectString parameter.",127.0.0.1
zookeeper.recovery.retry.maxsleeptime,"Max sleep time before retry zookeeper operations in milliseconds, a max time is needed here so that sleep time won't grow unboundedly",60000
hbase.local.dir,Directory on the local filesystem to be used as a local storage.,${hbase.tmp.dir}/local/
hbase.master.port,The port the HBase Master should bind to.,16000
hbase.master.info.port,The port for the HBase Master web UI. Set to -1 if you do not want a UI instance run.,16010
hbase.master.info.bindAddress,The bind address for the HBase Master web UI,0.0.0.0
hbase.master.logcleaner.plugins,"A comma-separated list of BaseLogCleanerDelegate invoked by the LogsCleaner service. These WAL cleaners are called in order, so put the cleaner that prunes the most files in front. To implement your own BaseLogCleanerDelegate, just put it in HBase's classpath and add the fully qualified class name here. Always add the above default log cleaners in the list.","org.apache.hadoop.hbase.master.cleaner.TimeToLiveLogCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveProcedureWALCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveMasterLocalStoreWALCleaner"
hbase.master.logcleaner.ttl,"How long a WAL remain in the archive ({hbase.rootdir}/oldWALs) directory, after which it will be cleaned by a Master thread. The value is in milliseconds.",600000
hbase.master.hfilecleaner.plugins,"A comma-separated list of BaseHFileCleanerDelegate invoked by the HFileCleaner service. These HFiles cleaners are called in order, so put the cleaner that prunes the most files in front. To implement your own BaseHFileCleanerDelegate, just put it in HBase's classpath and add the fully qualified class name here. Always add the above default hfile cleaners in the list as they will be overwritten in hbase-site.xml.","org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner,org.apache.hadoop.hbase.master.cleaner.TimeToLiveMasterLocalStoreHFileCleaner"
hbase.master.infoserver.redirect,Whether or not the Master listens to the Master web   UI port (hbase.master.info.port) and redirects requests to the web   UI server shared by the Master and RegionServer. Config. makes   sense when Master is serving Regions (not the default).,TRUE
hbase.master.fileSplitTimeout,"Splitting a region, how long to wait on the file-splitting   step before aborting the attempt. Default: 600000. This setting used   to be known as hbase.regionserver.fileSplitTimeout in hbase-1.x.   Split is now run master-side hence the rename (If a   'hbase.master.fileSplitTimeout' setting found, will use it to   prime the current 'hbase.master.fileSplitTimeout'   Configuration.",600000
hbase.regionserver.port,The port the HBase RegionServer binds to.,16020
hbase.regionserver.info.port,The port for the HBase RegionServer web UI Set to -1 if you do not want the RegionServer UI to run.,16030
hbase.regionserver.info.bindAddress,The address for the HBase RegionServer web UI,0.0.0.0
