AcceptFilter," This directive enables operating system specific optimizations for a       listening socket by the Using The default protocol names are The default values on FreeBSD are: The The default values on Linux are: Linux's The default values on Windows are: Window's mpm_winnt interprets the AcceptFilter to toggle the AcceptEx()       API, and does not support http protocol buffering. On Windows, For versions 2.4.23 and prior, the Windows Current releases of httpd default to the"
AcceptPathInfo," This directive controls whether requests that contain trailing    pathname information that follows an actual filename (or    non-existent file in an existing directory) will be accepted or    rejected.  The trailing pathname information can be made    available to scripts in the For example, assume the location The three possible arguments for the The primary purpose of the"
AccessFileName," While processing a request, the server looks for    the first existing configuration file from this list of names in    every directory of the path to the document, if distributed    configuration files are Before returning the document"
AddDefaultCharset, This directive specifies a default value for the media type    charset parameter (the name of a character encoding) to be added    to a response if and only if the response's content-type is either
AllowEncodedSlashes," The With the default value, With the value With the value Turning If encoded slashes are needed in path info, use of"
AllowOverride," When the server finds an When this directive is set to When this directive is set to The Note that a syntax error in a valid directive will still cause      an internal server error. Even though the list of options that may be used in .htaccess files         can be limited with this directive, as long as any Example: In the example above, all directives that are neither in the group For security and performance reasons, do not set"
AllowOverrideList," When the server finds an When this directive is set to Example: In the example above, only the Example: In the example above,"
CGIMapExtension," This directive is used to control how Apache httpd finds the    interpreter used to run CGI scripts. For example, setting"
CGIPassAuth, This directive can be used instead of the compile-time setting The setting is respected by any modules which use
CGIVar, This directive controls how some CGI variables are set.
ContentDigest," This directive enables the generation of MD5 is an algorithm for computing a ""message digest""    (sometimes called ""fingerprint"") of arbitrary-length data, with    a high degree of confidence that any alterations in the data    will be reflected in alterations in the message digest. The Note that this can cause performance problems on your server    since the message digest is computed on every request (the    values are not cached)."
DefaultRuntimeDir, The The default location of Note:
DefaultType," This directive has been disabled.  For backwards compatibility    of configuration files, it may be specified with the value Use the mime.types configuration file and the"
Define," In its one parameter form, In addition to that, if the second parameter is given, a config variable    is set to this value. The variable can be used in the configuration using    the Variable names may not contain colon "":"" characters, to avoid clashes    with While this directive is supported in virtual host context,         the changes it makes are visible to any later configuration         directives, beyond any enclosing virtual host."
<Directory>," Directory paths Be careful with the would match directories in If multiple (non-regular expression) for access to the document Regular expressions are not considered until after all of the    normal sections have been applied. Then all of the regular    expressions are tested in the order they appeared in the    configuration file. For example, with the regular expression section won't be considered until after    all normal The directory sections occur in the"
<DirectoryMatch>," matches directories in From 2.4.8 onwards, named groups and backreferences are captured and    written to the environment with the corresponding name prefixed with    ""MATCH_"" and in upper case. This allows elements of paths to be referenced    from within"
DocumentRoot, This directive sets the directory from which then an access to The
<Else>, The The
<ElseIf>, The The
EnableMMAP," This directive controls whether the This memory-mapping sometimes yields a performance improvement.    But in some environments, it is better to disable the memory-mapping    to prevent operational problems: For server configurations that are vulnerable to these problems,    you should disable memory-mapping of delivered files by specifying: For NFS mounted files, this feature may be disabled explicitly for    the offending files by specifying:"
EnableSendfile," This directive controls whether This sendfile mechanism avoids separate read and send operations,    and buffer allocations. But on some platforms or within some    filesystems, it is better to disable this feature to avoid    operational problems: For server configurations that are not vulnerable to these problems,    you may enable this feature by specifying: For network mounted files, this feature may be disabled explicitly    for the offending files by specifying: Please note that the per-directory and .htaccess configuration       of"
